epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9428,1.38883,2.76331,1.23721,0.87093,0.88447,0.91771,0.62091,1.07713,1.00706,1.03154,0.000207101,0.000207101,0.000207101
2,64.6354,1.02412,0.96174,1.00552,0.95943,0.92833,0.94852,0.6584,1.00673,0.66234,0.98655,0.000412692,0.000412692,0.000412692
3,82.9967,0.97757,0.83011,0.97955,0.95532,0.94351,0.94808,0.66915,1.00494,0.64287,0.97916,0.000615534,0.000615534,0.000615534
4,100.804,0.9412,0.7652,0.97399,0.97563,0.94876,0.96137,0.6867,0.97034,0.5987,0.96315,0.000612625,0.000612625,0.000612625
5,118.983,0.92246,0.71433,0.96173,0.93837,0.96279,0.95884,0.68456,0.97043,0.56393,0.94841,0.0006085,0.0006085,0.0006085
6,137.033,0.90734,0.66634,0.95552,0.97892,0.94795,0.965,0.67855,0.99382,0.58276,0.95697,0.000604375,0.000604375,0.000604375
7,155.131,0.8905,0.63617,0.94716,0.96594,0.96202,0.96459,0.70357,0.93286,0.54078,0.94067,0.00060025,0.00060025,0.00060025
8,173.321,0.87954,0.60643,0.9485,0.97456,0.95546,0.9633,0.69964,0.95327,0.52841,0.92693,0.000596125,0.000596125,0.000596125
9,191.523,0.88138,0.58851,0.94642,0.96115,0.96691,0.96535,0.70352,0.94162,0.51585,0.93421,0.000592,0.000592,0.000592
10,209.406,0.87242,0.5702,0.9433,0.9695,0.96263,0.96723,0.71498,0.91962,0.50209,0.93035,0.000587875,0.000587875,0.000587875
11,227.665,0.85438,0.55126,0.94034,0.96546,0.96344,0.96903,0.72516,0.90221,0.49437,0.92006,0.00058375,0.00058375,0.00058375
12,245.669,0.85504,0.53849,0.94021,0.98273,0.9598,0.967,0.71727,0.90664,0.47969,0.9304,0.000579625,0.000579625,0.000579625
13,263.73,0.84547,0.52618,0.93587,0.98011,0.94799,0.96752,0.72018,0.92117,0.48978,0.92864,0.0005755,0.0005755,0.0005755
14,281.772,0.8569,0.52538,0.93935,0.98064,0.95946,0.97135,0.72557,0.90586,0.46644,0.92971,0.000571375,0.000571375,0.000571375
15,299.915,0.84203,0.51406,0.9348,0.9588,0.96623,0.96717,0.70886,0.95426,0.47842,0.93473,0.00056725,0.00056725,0.00056725
16,318.14,0.83872,0.50587,0.93627,0.96936,0.95872,0.96595,0.72128,0.90232,0.47711,0.93574,0.000563125,0.000563125,0.000563125
17,336.022,0.82992,0.49692,0.93176,0.97869,0.95855,0.96989,0.73373,0.88783,0.45424,0.92428,0.000559,0.000559,0.000559
18,354.182,0.82394,0.49237,0.93302,0.97876,0.96441,0.97298,0.7329,0.89126,0.44399,0.92047,0.000554875,0.000554875,0.000554875
19,371.949,0.83093,0.49567,0.93685,0.9767,0.96023,0.97106,0.7259,0.91315,0.47054,0.92488,0.00055075,0.00055075,0.00055075
20,389.94,0.82588,0.4857,0.93113,0.97025,0.96547,0.97363,0.7375,0.87924,0.43724,0.92167,0.000546625,0.000546625,0.000546625
21,407.929,0.82407,0.48355,0.93164,0.97996,0.96047,0.9735,0.74237,0.85713,0.42988,0.91282,0.0005425,0.0005425,0.0005425
22,426.016,0.80833,0.47618,0.92845,0.97405,0.95929,0.97211,0.74122,0.85923,0.43952,0.91141,0.000538375,0.000538375,0.000538375
23,444.263,0.80814,0.46996,0.92475,0.97571,0.96229,0.97101,0.75244,0.84539,0.42877,0.91098,0.00053425,0.00053425,0.00053425
24,462.438,0.80203,0.46154,0.92698,0.97574,0.9582,0.97025,0.73837,0.86393,0.43672,0.91662,0.000530125,0.000530125,0.000530125
25,480.57,0.79631,0.45903,0.92458,0.97458,0.96648,0.97299,0.74729,0.858,0.43229,0.90956,0.000526,0.000526,0.000526
26,498.716,0.79523,0.45404,0.92647,0.97698,0.96184,0.97215,0.75241,0.83948,0.42244,0.90806,0.000521875,0.000521875,0.000521875
27,517.011,0.78668,0.45607,0.92041,0.98035,0.96399,0.97548,0.74953,0.85715,0.41909,0.91307,0.00051775,0.00051775,0.00051775
28,535.117,0.78069,0.44874,0.91792,0.97565,0.9638,0.97246,0.74941,0.84994,0.43107,0.90372,0.000513625,0.000513625,0.000513625
29,553.247,0.7812,0.45084,0.91812,0.9783,0.96365,0.97435,0.75697,0.8409,0.40986,0.90643,0.0005095,0.0005095,0.0005095
30,571.319,0.77479,0.44151,0.91633,0.9807,0.96114,0.97593,0.76771,0.816,0.40548,0.90141,0.000505375,0.000505375,0.000505375
31,589.791,0.77273,0.44416,0.91667,0.97608,0.97029,0.97767,0.753,0.83889,0.41099,0.90616,0.00050125,0.00050125,0.00050125
32,607.908,0.76131,0.43321,0.91318,0.97589,0.96402,0.97384,0.75728,0.82806,0.42651,0.90227,0.000497125,0.000497125,0.000497125
33,626.072,0.76294,0.43539,0.91549,0.9824,0.9716,0.97833,0.77002,0.82446,0.39451,0.90343,0.000493,0.000493,0.000493
34,644.267,0.75854,0.43218,0.91586,0.97396,0.95906,0.96999,0.75864,0.83959,0.40583,0.90515,0.000488875,0.000488875,0.000488875
35,662.456,0.75332,0.4269,0.91113,0.97455,0.97255,0.98069,0.77338,0.80624,0.39558,0.90102,0.00048475,0.00048475,0.00048475
36,681.045,0.74829,0.42706,0.9122,0.97989,0.96523,0.97676,0.76343,0.81875,0.39563,0.89485,0.000480625,0.000480625,0.000480625
37,699.278,0.74665,0.42321,0.91217,0.98285,0.95836,0.97367,0.76267,0.81966,0.40509,0.90224,0.0004765,0.0004765,0.0004765
38,717.123,0.74371,0.4262,0.91305,0.98354,0.95943,0.97425,0.76755,0.81728,0.40015,0.89571,0.000472375,0.000472375,0.000472375
39,735.329,0.74375,0.42231,0.91071,0.97581,0.96131,0.97082,0.76567,0.81928,0.40083,0.89813,0.00046825,0.00046825,0.00046825
40,753.621,0.73525,0.41277,0.91079,0.9757,0.96794,0.97603,0.76713,0.81111,0.38747,0.89538,0.000464125,0.000464125,0.000464125
41,772.07,0.72497,0.41051,0.90747,0.97968,0.96575,0.97622,0.76848,0.81557,0.39225,0.89696,0.00046,0.00046,0.00046
42,790.515,0.73088,0.41364,0.90744,0.97729,0.96366,0.97805,0.77554,0.80314,0.38799,0.89204,0.000455875,0.000455875,0.000455875
43,808.94,0.73028,0.41251,0.90597,0.97435,0.96524,0.97734,0.77737,0.79972,0.38843,0.89009,0.00045175,0.00045175,0.00045175
44,827.224,0.71509,0.40281,0.90177,0.97883,0.96918,0.9783,0.78184,0.79446,0.38435,0.89107,0.000447625,0.000447625,0.000447625
45,845.848,0.71454,0.4015,0.90387,0.98224,0.96792,0.98049,0.77895,0.79641,0.37941,0.89017,0.0004435,0.0004435,0.0004435
46,864.215,0.71111,0.39914,0.90085,0.98226,0.97177,0.98097,0.78163,0.78463,0.37791,0.8855,0.000439375,0.000439375,0.000439375
47,882.736,0.69772,0.39802,0.89902,0.9782,0.96813,0.97909,0.78128,0.77995,0.37669,0.88645,0.00043525,0.00043525,0.00043525
48,901.252,0.70136,0.39908,0.89954,0.98028,0.97172,0.98101,0.78669,0.77177,0.37841,0.88552,0.000431125,0.000431125,0.000431125
49,919.638,0.69683,0.39174,0.901,0.98403,0.97006,0.97988,0.78404,0.7755,0.3661,0.88942,0.000427,0.000427,0.000427
50,937.933,0.69144,0.39411,0.89822,0.979,0.96876,0.97719,0.78039,0.77395,0.37117,0.88727,0.000422875,0.000422875,0.000422875
51,956.435,0.6916,0.39302,0.89816,0.98219,0.97022,0.9806,0.79404,0.75429,0.36639,0.87876,0.00041875,0.00041875,0.00041875
52,974.741,0.68138,0.38857,0.89574,0.98072,0.97537,0.9823,0.79132,0.76301,0.36804,0.87961,0.000414625,0.000414625,0.000414625
53,993.226,0.68235,0.38785,0.89711,0.98202,0.96801,0.98034,0.79297,0.75788,0.36722,0.88402,0.0004105,0.0004105,0.0004105
54,1011.54,0.67719,0.38678,0.89612,0.98198,0.96463,0.98089,0.79032,0.7613,0.36526,0.88571,0.000406375,0.000406375,0.000406375
55,1029.72,0.67988,0.38608,0.89566,0.98153,0.96705,0.9821,0.79446,0.75254,0.36285,0.87945,0.00040225,0.00040225,0.00040225
56,1047.73,0.67253,0.38503,0.89323,0.97778,0.97104,0.98019,0.79338,0.75429,0.36145,0.87991,0.000398125,0.000398125,0.000398125
57,1066.2,0.6708,0.38355,0.89334,0.97993,0.968,0.98113,0.79607,0.7333,0.35932,0.87826,0.000394,0.000394,0.000394
58,1084.55,0.66143,0.3737,0.88938,0.97922,0.96677,0.97893,0.79524,0.74946,0.35726,0.88006,0.000389875,0.000389875,0.000389875
59,1103.02,0.66005,0.37544,0.8909,0.98271,0.96766,0.9786,0.79418,0.75488,0.36444,0.87747,0.00038575,0.00038575,0.00038575
60,1121.69,0.66749,0.37867,0.89092,0.97972,0.96956,0.97862,0.79771,0.74307,0.35612,0.87728,0.000381625,0.000381625,0.000381625
61,1140.29,0.65789,0.37442,0.88867,0.97892,0.96619,0.97903,0.80123,0.73892,0.35614,0.8724,0.0003775,0.0003775,0.0003775
62,1158.62,0.64562,0.36823,0.88579,0.98237,0.96906,0.98279,0.80297,0.73295,0.34821,0.87422,0.000373375,0.000373375,0.000373375
63,1177.19,0.64185,0.36749,0.88472,0.98225,0.97104,0.98289,0.80894,0.71766,0.34085,0.86815,0.00036925,0.00036925,0.00036925
64,1195.5,0.64239,0.36757,0.88474,0.98115,0.97352,0.98289,0.8067,0.72545,0.33984,0.8712,0.000365125,0.000365125,0.000365125
65,1213.9,0.63759,0.36528,0.88446,0.98502,0.96535,0.9818,0.80518,0.73017,0.34338,0.87442,0.000361,0.000361,0.000361
66,1232.1,0.64577,0.36934,0.88439,0.98041,0.97282,0.98346,0.80887,0.71372,0.33393,0.86594,0.000356875,0.000356875,0.000356875
67,1250.3,0.63816,0.36833,0.8843,0.98041,0.97088,0.98197,0.80996,0.71636,0.34434,0.86863,0.00035275,0.00035275,0.00035275
68,1268.53,0.63386,0.36543,0.8827,0.98073,0.97211,0.98317,0.81062,0.71222,0.33963,0.86921,0.000348625,0.000348625,0.000348625
69,1287.05,0.62992,0.3613,0.88208,0.97731,0.97308,0.98298,0.81048,0.70627,0.33524,0.8667,0.0003445,0.0003445,0.0003445
70,1305.33,0.62792,0.36349,0.88475,0.97845,0.97245,0.98338,0.81209,0.71121,0.33506,0.86639,0.000340375,0.000340375,0.000340375
71,1323.7,0.62089,0.35563,0.8811,0.97827,0.97205,0.98223,0.81316,0.70806,0.33695,0.86605,0.00033625,0.00033625,0.00033625
72,1342.08,0.61721,0.35547,0.87748,0.98284,0.9672,0.98231,0.81143,0.70488,0.33721,0.8657,0.000332125,0.000332125,0.000332125
73,1360.45,0.61956,0.35501,0.87847,0.98307,0.96691,0.98118,0.81071,0.69936,0.33538,0.86673,0.000328,0.000328,0.000328
74,1379.21,0.61492,0.35272,0.8801,0.98199,0.97518,0.9844,0.81947,0.68882,0.3283,0.86022,0.000323875,0.000323875,0.000323875
75,1397.31,0.60994,0.35182,0.87617,0.97712,0.9724,0.98274,0.81231,0.7131,0.33762,0.86847,0.00031975,0.00031975,0.00031975
76,1415.6,0.60961,0.34941,0.87672,0.97925,0.97304,0.98337,0.81731,0.69221,0.33116,0.86411,0.000315625,0.000315625,0.000315625
77,1433.87,0.60792,0.34896,0.87499,0.98462,0.96968,0.98417,0.82323,0.68257,0.32807,0.86512,0.0003115,0.0003115,0.0003115
78,1452.19,0.59441,0.34751,0.87528,0.97683,0.97547,0.98383,0.82188,0.68282,0.32822,0.86179,0.000307375,0.000307375,0.000307375
79,1470.37,0.6011,0.34758,0.8749,0.97875,0.97118,0.98167,0.81962,0.6843,0.33082,0.86191,0.00030325,0.00030325,0.00030325
80,1488.71,0.59006,0.34158,0.87464,0.98701,0.97307,0.98315,0.82357,0.67669,0.32093,0.85936,0.000299125,0.000299125,0.000299125
81,1507.07,0.58586,0.34178,0.87425,0.97936,0.97215,0.98255,0.82306,0.67636,0.32593,0.85747,0.000295,0.000295,0.000295
82,1525.26,0.58591,0.34068,0.87256,0.98051,0.97801,0.98472,0.82762,0.66509,0.31801,0.85778,0.000290875,0.000290875,0.000290875
83,1543.53,0.58755,0.3372,0.87203,0.9808,0.97839,0.98377,0.82884,0.66443,0.31833,0.8563,0.00028675,0.00028675,0.00028675
84,1561.94,0.58109,0.33732,0.87221,0.98441,0.9715,0.98423,0.82546,0.66848,0.32267,0.85741,0.000282625,0.000282625,0.000282625
85,1580.46,0.57258,0.33461,0.86866,0.98309,0.97083,0.98343,0.83018,0.65536,0.31859,0.85475,0.0002785,0.0002785,0.0002785
86,1598.65,0.57571,0.33562,0.87094,0.98522,0.96899,0.9832,0.82758,0.65654,0.31842,0.85675,0.000274375,0.000274375,0.000274375
87,1617.18,0.57815,0.33555,0.86864,0.98026,0.97282,0.98374,0.83198,0.65212,0.3184,0.85508,0.00027025,0.00027025,0.00027025
88,1635.38,0.5696,0.33273,0.87018,0.98033,0.97749,0.98452,0.83221,0.65258,0.31334,0.85447,0.000266125,0.000266125,0.000266125
89,1653.75,0.56287,0.33254,0.8679,0.97684,0.97733,0.98549,0.83205,0.65262,0.31326,0.85299,0.000262,0.000262,0.000262
90,1671.81,0.57007,0.33408,0.86898,0.98224,0.9755,0.9837,0.83141,0.65765,0.31366,0.85478,0.000257875,0.000257875,0.000257875
91,1690.42,0.56152,0.32813,0.86502,0.98033,0.97369,0.98392,0.83643,0.64551,0.31049,0.85077,0.00025375,0.00025375,0.00025375
92,1708.95,0.56062,0.32933,0.86698,0.98001,0.97464,0.98405,0.83888,0.64335,0.30914,0.85179,0.000249625,0.000249625,0.000249625
93,1727.39,0.56175,0.32895,0.86596,0.98401,0.97204,0.98457,0.83927,0.638,0.30685,0.85235,0.0002455,0.0002455,0.0002455
94,1745.55,0.55478,0.32462,0.8645,0.98299,0.97434,0.98535,0.8383,0.63267,0.30446,0.85035,0.000241375,0.000241375,0.000241375
95,1763.86,0.5576,0.32544,0.86492,0.97899,0.97436,0.98543,0.84142,0.63525,0.30844,0.84983,0.00023725,0.00023725,0.00023725
96,1782.34,0.54459,0.32264,0.86595,0.98092,0.97391,0.9839,0.83855,0.64181,0.30761,0.85101,0.000233125,0.000233125,0.000233125
97,1800.74,0.55113,0.32365,0.8662,0.98256,0.9746,0.9844,0.84051,0.63526,0.30667,0.85044,0.000229,0.000229,0.000229
98,1818.79,0.54385,0.32161,0.86093,0.97943,0.97568,0.98481,0.84097,0.63219,0.30683,0.84965,0.000224875,0.000224875,0.000224875
99,1837.19,0.54678,0.322,0.865,0.98069,0.97736,0.98482,0.84204,0.62525,0.30298,0.84557,0.00022075,0.00022075,0.00022075
100,1855.24,0.5373,0.3172,0.8636,0.98053,0.97584,0.98458,0.84091,0.62328,0.30216,0.84625,0.000216625,0.000216625,0.000216625
101,1873.33,0.53116,0.31601,0.8598,0.98531,0.97372,0.98616,0.8462,0.61649,0.29849,0.84458,0.0002125,0.0002125,0.0002125
102,1891.52,0.53249,0.31425,0.85993,0.98413,0.97282,0.98487,0.8414,0.62546,0.3005,0.84707,0.000208375,0.000208375,0.000208375
103,1909.63,0.52567,0.31128,0.8602,0.9853,0.97786,0.98631,0.84756,0.61235,0.29684,0.84443,0.00020425,0.00020425,0.00020425
104,1927.74,0.53069,0.31521,0.86082,0.9877,0.97339,0.98491,0.84629,0.61323,0.29717,0.84434,0.000200125,0.000200125,0.000200125
105,1945.79,0.52553,0.31087,0.85877,0.98614,0.9758,0.9857,0.8485,0.61229,0.29479,0.84508,0.000196,0.000196,0.000196
106,1964.3,0.52209,0.31002,0.85937,0.98403,0.97896,0.98661,0.84764,0.61194,0.29402,0.84341,0.000191875,0.000191875,0.000191875
107,1982.66,0.51616,0.30733,0.85662,0.98337,0.97638,0.98564,0.84917,0.60566,0.29607,0.84341,0.00018775,0.00018775,0.00018775
108,2001.17,0.51558,0.30803,0.85677,0.98507,0.97597,0.98665,0.85339,0.60217,0.29499,0.84198,0.000183625,0.000183625,0.000183625
109,2019.62,0.51025,0.30763,0.85344,0.98043,0.98028,0.98654,0.85218,0.6016,0.2935,0.84152,0.0001795,0.0001795,0.0001795
110,2038.24,0.51903,0.30833,0.85887,0.98063,0.97515,0.98548,0.8506,0.603,0.29361,0.84361,0.000175375,0.000175375,0.000175375
111,2056.63,0.51212,0.30687,0.85563,0.98323,0.97423,0.98551,0.85285,0.59724,0.29274,0.84144,0.00017125,0.00017125,0.00017125
112,2075.13,0.51076,0.30906,0.85672,0.97821,0.97715,0.98622,0.85271,0.59966,0.29191,0.84179,0.000167125,0.000167125,0.000167125
113,2093.81,0.50792,0.30606,0.85567,0.98057,0.98164,0.98681,0.85476,0.59177,0.2893,0.8395,0.000163,0.000163,0.000163
114,2112.2,0.50754,0.30283,0.8557,0.9819,0.97688,0.98523,0.85434,0.58912,0.28955,0.8408,0.000158875,0.000158875,0.000158875
115,2130.79,0.50157,0.30075,0.85421,0.98509,0.97704,0.98561,0.8556,0.58683,0.28817,0.83854,0.00015475,0.00015475,0.00015475
116,2149.33,0.50348,0.2989,0.85507,0.98151,0.98097,0.98627,0.85789,0.58502,0.28824,0.83872,0.000150625,0.000150625,0.000150625
117,2167.79,0.4998,0.30095,0.85377,0.97808,0.98141,0.98626,0.85529,0.58918,0.29047,0.83758,0.0001465,0.0001465,0.0001465
118,2186.32,0.49701,0.29844,0.85203,0.98065,0.98059,0.98579,0.85776,0.58672,0.28662,0.83823,0.000142375,0.000142375,0.000142375
119,2204.83,0.49141,0.29901,0.85296,0.97818,0.98234,0.98665,0.85694,0.58265,0.28621,0.83768,0.00013825,0.00013825,0.00013825
120,2223.16,0.48741,0.29207,0.8535,0.99013,0.97293,0.98591,0.85895,0.5772,0.28596,0.83825,0.000134125,0.000134125,0.000134125
121,2241.71,0.49348,0.29692,0.85267,0.99006,0.97249,0.98596,0.85948,0.57847,0.28362,0.83692,0.00013,0.00013,0.00013
122,2260.1,0.48987,0.2954,0.85206,0.98682,0.97493,0.98614,0.86015,0.57809,0.2847,0.83538,0.000125875,0.000125875,0.000125875
123,2278.58,0.48604,0.29351,0.85182,0.98824,0.97364,0.98665,0.86165,0.57642,0.285,0.83553,0.00012175,0.00012175,0.00012175
124,2297.04,0.47829,0.29275,0.8495,0.98261,0.98214,0.98712,0.86253,0.57607,0.28397,0.8368,0.000117625,0.000117625,0.000117625
125,2315.33,0.48475,0.29241,0.85198,0.9892,0.97489,0.98656,0.86045,0.57654,0.28313,0.83667,0.0001135,0.0001135,0.0001135
126,2333.48,0.46996,0.28839,0.84783,0.98357,0.98377,0.98743,0.86387,0.57148,0.28152,0.83553,0.000109375,0.000109375,0.000109375
127,2351.57,0.47465,0.28816,0.84799,0.98032,0.98299,0.98587,0.86216,0.57037,0.28102,0.83477,0.00010525,0.00010525,0.00010525
128,2369.81,0.48175,0.29109,0.85059,0.98412,0.98171,0.98711,0.86655,0.56624,0.2802,0.83449,0.000101125,0.000101125,0.000101125
129,2388.07,0.4723,0.28545,0.84755,0.9822,0.98474,0.98688,0.86548,0.56984,0.28151,0.83556,9.7e-05,9.7e-05,9.7e-05
130,2406.2,0.47151,0.28601,0.84894,0.98356,0.98466,0.98746,0.86592,0.56513,0.27742,0.83412,9.2875e-05,9.2875e-05,9.2875e-05
131,2424.44,0.46999,0.28621,0.84655,0.98255,0.98695,0.98724,0.86597,0.56756,0.277,0.83351,8.875e-05,8.875e-05,8.875e-05
132,2442.76,0.465,0.2843,0.84746,0.98236,0.98404,0.98731,0.86754,0.56244,0.27708,0.83309,8.4625e-05,8.4625e-05,8.4625e-05
133,2460.84,0.46886,0.28582,0.85211,0.98414,0.98409,0.98734,0.867,0.56266,0.27668,0.83382,8.05e-05,8.05e-05,8.05e-05
134,2479.3,0.46266,0.27956,0.84712,0.98225,0.98472,0.98669,0.86797,0.55631,0.27441,0.83172,7.6375e-05,7.6375e-05,7.6375e-05
135,2497.65,0.45742,0.28137,0.84597,0.98374,0.985,0.98728,0.86835,0.56079,0.27602,0.83297,7.225e-05,7.225e-05,7.225e-05
136,2516.27,0.46451,0.28324,0.84751,0.98398,0.98301,0.98716,0.86813,0.55842,0.27406,0.83332,6.8125e-05,6.8125e-05,6.8125e-05
137,2534.66,0.45648,0.27992,0.84527,0.98291,0.98375,0.98711,0.86802,0.5582,0.27304,0.83216,6.4e-05,6.4e-05,6.4e-05
